epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9225,1.70324,2.92415,1.41128,0.92201,0.46083,0.66321,0.42884,1.27177,2.70494,1.07364,0.000465748,0.000465748,0.000465748
2,143.403,1.42657,1.66715,1.20156,0.87716,0.68294,0.85379,0.52061,1.26411,1.88617,1.07963,0.000935864,0.000935864,0.000935864
3,216.273,1.41733,1.51908,1.19402,0.7727,0.80265,0.84925,0.46092,1.41136,1.94909,1.18249,0.00139969,0.00139969,0.00139969
4,300.691,1.45029,1.51253,1.18396,0.8504,0.82605,0.86702,0.48357,1.36246,1.78814,1.17736,0.00140071,0.00140071,0.00140071
5,379.628,1.39417,1.38289,1.17602,0.86203,0.84737,0.86967,0.53429,1.2614,2.04889,1.17057,0.00139127,0.00139127,0.00139127
6,456.454,1.32948,1.34677,1.18483,0.9355,0.9126,0.93262,0.60356,1.18123,1.29391,1.14796,0.00138184,0.00138184,0.00138184
7,531.62,1.30172,1.33977,1.16188,0.9194,0.91922,0.93777,0.59469,1.2771,1.34353,1.14186,0.00137241,0.00137241,0.00137241
8,618.488,1.29304,1.2293,1.15139,0.93445,0.90383,0.9411,0.56715,1.26319,1.22943,1.12485,0.00136298,0.00136298,0.00136298
9,701.304,1.26765,1.17558,1.15738,0.95743,0.92491,0.95358,0.64537,1.15038,1.17484,1.08565,0.00135355,0.00135355,0.00135355
10,779.591,1.27706,1.13998,1.14419,0.96166,0.93678,0.96702,0.63513,1.19048,1.21,1.11736,0.00134412,0.00134412,0.00134412
11,857.726,1.23555,1.10261,1.12281,0.93994,0.9289,0.93503,0.58622,1.19007,1.20799,1.13492,0.00133469,0.00133469,0.00133469
12,933.115,1.24778,1.10625,1.12207,0.94429,0.9287,0.96408,0.63168,1.20059,1.07489,1.12801,0.00132525,0.00132525,0.00132525
